treatment,replicate,sex,initial_nymphs,# of adults (5/4/2021),# of adults (5/7/2021),# of adults (5/10/2021),# of adults (5/12/2021),# of adults (5/14/2021),# of adults (5/20/2021),final adult count,total adults,# of adults that called,total responsive adults,survivorship,proportion_called,proportion_males
High,A1,# male,30,0,1,9,9,9,9,9,19,9,15,0.633333333,0.789473684,0.473684211
High,A1,#female,30,0,0,5,7,10,10,10,19,6,15,0.633333333,0.789473684,0.473684211
High,A2,# male,30,0,0,0,5,7,7,7,18,2,11,0.6,0.611111111,0.388888889
High,A2,#female,30,0,0,0,4,8,11,11,18,9,11,0.6,0.611111111,0.388888889
High,A3,# male,30,0,2,7,8,8,8,8,17,4,10,0.566666667,0.588235294,0.470588235
High,A3,#female,30,0,4,10,10,10,9,9,17,6,10,0.566666667,0.588235294,0.470588235
High,A4,# male,30,1,9,10,10,11,11,11,23,7,8,0.766666667,0.347826087,0.47826087
High,A4,#female,30,0,3,9,12,12,12,12,23,1,8,0.766666667,0.347826087,0.47826087
Low,AB1,# male,30,0,4,10,12,15,15,15,22,3,9,0.733333333,0.409090909,0.681818182
Low,AB1,#female,30,0,1,5,5,6,7,7,22,6,9,0.733333333,0.409090909,0.681818182
Low,AD1,# male,30,0,0,0,0,1,3,3,9,1,1,0.3,0.111111111,0.333333333
Low,AD1,#female,30,0,0,0,0,0,6,6,9,0,1,0.3,0.111111111,0.333333333
Low,AD2,# male,30,0,8,8,8,9,9,9,15,6,7,0.5,0.466666667,0.6
Low,AD2,#female,30,0,0,5,5,6,6,6,15,1,7,0.5,0.466666667,0.6
Low,AD3,# male,30,0,NA,1,1,6,6,6,16,2,8,0.533333333,0.5,0.375
Low,AD3,#female,30,0,NA,0,0,5,10,10,16,6,8,0.533333333,0.5,0.375
High,B1,# male,30,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
High,B1,#female,30,0,0,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
High,B2,# male,30,No live bugs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
High,B2,#female,30,No live bugs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
High,B3,# male,30,0,0,1,1,1,1,1,5,1,3,0.166666667,0.6,0.2
High,B3,#female,30,0,0,3,3,3,4,4,5,2,3,0.166666667,0.6,0.2
High,D1,# male,30,3,4,10,11,12,12,12,25,8,8,0.833333333,0.32,0.48
High,D1,#female,30,0,9,11,12,13,13,13,25,0,8,0.833333333,0.32,0.48
High,D2,# male,30,0,3,9,9,9,9,9,17,5,8,0.566666667,0.470588235,0.529411765
High,D2,#female,30,0,1,6,8,8,8,8,17,3,8,0.566666667,0.470588235,0.529411765
High,D3,# male,30,2,7,7,8,8,8,8,16,2,7,0.533333333,0.4375,0.5
High,D3,#female,30,0,3,8,8,8,8,8,16,5,7,0.533333333,0.4375,0.5
High,E1,# male,30,0,7,10,11,11,11,11,25,5,19,0.833333333,0.76,0.44
High,E1,#female,30,0,5,9,11,12,13,14,25,14,19,0.833333333,0.76,0.44
Medium,F1,# male,30,4,9,9,9,9,9,9,17,0,3,0.566666667,0.176470588,0.529411765
Medium,F1,#female,30,3,3,8,8,8,8,8,17,3,3,0.566666667,0.176470588,0.529411765
Medium,F2,# male,7,0,NA,2,3,3,3,3,5,2,3,0.714285714,0.6,0.6
Medium,F2,#female,7,0,NA,2,2,2,2,2,5,1,3,0.714285714,0.6,0.6
Low,H1,# male,30,0,3,8,8,9,11,11,17,1,3,0.566666667,0.176470588,0.647058824
Low,H1,#female,30,0,3,5,5,5,6,6,17,2,3,0.566666667,0.176470588,0.647058824
Medium,J1,# male,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Medium,J1,#female,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Medium,J2,# male,30,0,8,8,10,10,10,10,23,0,7,0.766666667,0.304347826,0.434782609
Medium,J2,#female,30,0,4,8,10,13,13,13,23,7,7,0.766666667,0.304347826,0.434782609
Medium,K1,# male,30,0,8,8,7,8,8,8,22,3,11,0.733333333,0.5,0.363636364
Medium,K1,#female,30,0,5,13,14,14,14,14,22,8,11,0.733333333,0.5,0.363636364
