playback.nb,freq,resp,treat,plant,temp,mass
1,184,0,med,O2,24,9.192
1,180,0,med,O2,24,9.192
1,187,1,med,O2,24,9.192
1,188,2,med,O2,24,9.192
1,170,3,med,O2,24,9.192
1,160,0,med,O2,24,9.192
1,175,3,med,O2,24,9.192
1,185,1,med,O2,24,9.192
1,200,1,med,O2,24,9.192
1,140,0,med,O2,24,9.192
1,183,1,med,O2,24,9.192
1,210,0,med,O2,24,9.192
1,190,1,med,O2,24,9.192
1,250,0,med,O2,24,9.192
1,182,2,med,O2,24,9.192
1,195,1,med,O2,24,9.192
1,186,1,med,O2,24,9.192
1,230,0,med,O2,24,9.192
2,140,1,high,A2,24.5,9.412
2,185,3,high,A2,24.5,9.412
2,184,3,high,A2,24.5,9.412
2,200,3,high,A2,24.5,9.412
2,195,3,high,A2,24.5,9.412
2,186,3,high,A2,24.5,9.412
2,250,0,high,A2,24.5,9.412
2,180,3,high,A2,24.5,9.412
2,190,3,high,A2,24.5,9.412
2,187,3,high,A2,24.5,9.412
2,175,2,high,A2,24.5,9.412
2,210,3,high,A2,24.5,9.412
2,170,3,high,A2,24.5,9.412
2,183,3,high,A2,24.5,9.412
2,230,2,high,A2,24.5,9.412
2,160,2,high,A2,24.5,9.412
2,182,3,high,A2,24.5,9.412
2,188,2,high,A2,24.5,9.412
3,180,3,high,A2,24,8.76
3,140,0,high,A2,24,8.76
3,182,3,high,A2,24,8.76
3,190,3,high,A2,24,8.76
3,187,3,high,A2,24,8.76
3,184,3,high,A2,24,8.76
3,183,3,high,A2,24,8.76
3,195,3,high,A2,24,8.76
3,185,3,high,A2,24,8.76
3,250,0,high,A2,24,8.76
3,186,3,high,A2,24,8.76
3,200,3,high,A2,24,8.76
3,160,0,high,A2,24,8.76
3,188,3,high,A2,24,8.76
3,170,2,high,A2,24,8.76
3,175,3,high,A2,24,8.76
3,230,2,high,A2,24,8.76
3,210,3,high,A2,24,8.76
4,170,0,high,A2,24,8.422
4,175,2,high,A2,24,8.422
4,195,3,high,A2,24,8.422
4,190,1,high,A2,24,8.422
4,184,2,high,A2,24,8.422
4,160,1,high,A2,24,8.422
4,188,0,high,A2,24,8.422
4,182,3,high,A2,24,8.422
4,140,0,high,A2,24,8.422
4,250,0,high,A2,24,8.422
4,186,3,high,A2,24,8.422
4,210,3,high,A2,24,8.422
4,183,3,high,A2,24,8.422
4,185,3,high,A2,24,8.422
4,180,3,high,A2,24,8.422
4,187,3,high,A2,24,8.422
4,230,2,high,A2,24,8.422
4,200,3,high,A2,24,8.422
5,195,3,high,A2,25,7.502
5,200,2,high,A2,25,7.502
5,184,3,high,A2,25,7.502
5,188,0,high,A2,25,7.502
5,250,2,high,A2,25,7.502
5,230,3,high,A2,25,7.502
5,186,3,high,A2,25,7.502
5,190,3,high,A2,25,7.502
5,175,3,high,A2,25,7.502
5,183,3,high,A2,25,7.502
5,160,2,high,A2,25,7.502
5,180,3,high,A2,25,7.502
5,140,0,high,A2,25,7.502
5,170,3,high,A2,25,7.502
5,210,2,high,A2,25,7.502
5,187,3,high,A2,25,7.502
5,182,3,high,A2,25,7.502
5,185,3,high,A2,25,7.502
6,140,0,high,A2,24.5,9.098
6,200,3,high,A2,24.5,9.098
6,187,3,high,A2,24.5,9.098
6,180,0,high,A2,24.5,9.098
6,175,0,high,A2,24.5,9.098
6,195,3,high,A2,24.5,9.098
6,170,0,high,A2,24.5,9.098
6,188,3,high,A2,24.5,9.098
6,182,2,high,A2,24.5,9.098
6,230,3,high,A2,24.5,9.098
6,160,0,high,A2,24.5,9.098
6,186,3,high,A2,24.5,9.098
6,190,3,high,A2,24.5,9.098
6,210,3,high,A2,24.5,9.098
6,184,3,high,A2,24.5,9.098
6,250,3,high,A2,24.5,9.098
6,185,3,high,A2,24.5,9.098
6,183,3,high,A2,24.5,9.098
7,195,1,high,A2,24,7.093
7,160,2,high,A2,24,7.093
7,187,2,high,A2,24,7.093
7,184,3,high,A2,24,7.093
7,230,3,high,A2,24,7.093
7,190,1,high,A2,24,7.093
7,250,1,high,A2,24,7.093
7,180,3,high,A2,24,7.093
7,185,2,high,A2,24,7.093
7,175,1,high,A2,24,7.093
7,188,0,high,A2,24,7.093
7,140,0,high,A2,24,7.093
7,182,1,high,A2,24,7.093
7,170,0,high,A2,24,7.093
7,210,2,high,A2,24,7.093
7,186,0,high,A2,24,7.093
7,183,1,high,A2,24,7.093
7,200,2,high,A2,24,7.093
8,250,3,high,A2,24,9.14
8,200,2,high,A2,24,9.14
8,230,3,high,A2,24,9.14
8,187,3,high,A2,24,9.14
8,140,3,high,A2,24,9.14
8,182,3,high,A2,24,9.14
8,195,3,high,A2,24,9.14
8,185,3,high,A2,24,9.14
8,183,3,high,A2,24,9.14
8,188,3,high,A2,24,9.14
8,210,3,high,A2,24,9.14
8,184,0,high,A2,24,9.14
8,180,3,high,A2,24,9.14
8,175,3,high,A2,24,9.14
8,186,3,high,A2,24,9.14
8,170,3,high,A2,24,9.14
8,190,3,high,A2,24,9.14
8,160,3,high,A2,24,9.14
9,250,0,high,A2,24,8.622
9,210,3,high,A2,24,8.622
