female_ID,peak_pref,peak_height,tolerance,strength,responsiveness,plant_replicate,treatment,temp,mass,selectivity_PC1
X1,173.0495,1.398,39.028,0.249,0.944,O2,Med,24,9.192,-1.417219614
X2,195.8525,2.956,70.5485,0.087,2.5,A2,High,24.5,9.412,0.568222034
X3,189.8905,3.037,58.905,0.214,2.389,A2,High,24,8.76,0.190349717
X4,202.106,2.522,61.7045,0.118,1.944,A2,High,24,8.422,-0.081543588
X5,181.294,2.709,93.126,0.047,2.444,A2,High,25,7.502,0.994080696
X6,193.922,3.196,67.2595,0.332,2.111,A2,High,24.5,9.098,0.082184432
X7,226.0915,1.974,70.521,0.064,1.389,A2,High,24,7.093,-0.339593781
X8,140,3.016,110,0.001,2.778,A2,High,24,9.14,1.628910838
X9,140,3.057,94.6,0.049,2.556,A2,High,24,8.622,1.115436703
X10,213.139,2.771,110,0.002,2.556,A2,High,24.5,8.352,1.445367512
X11,250,2.504,79.5795,0.043,1.889,O2,Med,25,8.948,0.264276995
X12,175.3375,1.802,74.9595,0.1,1.556,O2,Med,24.5,7.828,-0.126697179
X13,140,2.885,110,0.004,2.333,O2,Med,24.5,8.56,1.260596332
X14,168.3745,2.286,81.1855,0.024,2,O2,Med,24.5,9.146,0.395934554
X15,195.671,1.393,29.92,0.311,0.833,O2,Med,24,8.932,-1.71770057
X16,223.8695,2.102,92.3285,0.032,1.889,R3,Low,25.5,10.584,0.526168
X17,197.64,2.411,51.018,0.197,1.778,R3,Low,24.5,9.924,-0.466123374
X18,178.082,2.646,19.998,0.592,1.389,R3,Low,24,10.166,-1.572608046
X19,183.142,0.772,50.9135,0.163,0.611,R3,Low,24,9.912,-1.41725988
X20,250,3.039,25.3275,0.241,1.222,R3,Low,24.5,n/a,-1.461332585
X21,250,3.036,110,0.009,2.333,R3,Low,24.5,9.994,1.258581846
X22,176.3275,1.705,66.737,0.138,1.389,AB1,Low,25.5,7.864,-0.445823997
X23,140,2.728,20.119,0.833,0.722,AB1,Low,24.5,7.698,-2.217508975
X24,140,2.404,30.47,0.034,1.5,AB1,Low,24.5,7.946,-1.044744863
X25,140,1.475,110,0.004,1.222,AB1,Low,24.5,8.248,0.34406923
X26,140,2.04,15.2295,0.197,0.778,AB1,Low,25.5,8.12,-2.013809599
X27,140,3.093,91.8115,0.041,2.333,B3,Low,24,8.878,0.87838225
X28,250,3.01,110,0.004,2.889,B3,Low,24,7.088,1.719272361
X29,140,3.058,110,0.002,2.722,K2,Med,24,8.826,1.582310355
X30,250,3.141,41.1455,0.083,2.167,K2,Med,25,8.824,-0.29865465
X31,206.7425,1.664,53.7625,0.147,1.111,K2,Med,24.5,8.036,-0.940801073
X32,200.2415,2.982,71.2855,0.04,2.444,K2,Med,24.5,9.576,0.55584393
X33,250,3.01,110,0,2.944,K2,Med,24,8.16,1.766256579
X34,140,3.034,75.2455,0.047,2.444,K2,Med,25,8.276,0.632993701
